Primary,Status,Comment
"Obtain spring observations on physical, chemical, and lower trophic-level biological oceanographic conditions at fixed sampling stations along core Atlantic Zone Monitoring Program sections within the Maritimes Region (Contact Lindsay Beazley - http://www.meds-sdmm.dfo-mpo.gc.ca/isdm-gdsi/azmp-pmza/index-eng.html).",Completed,
Deploy 1 passive acoustic mooring in Roseway Basin in support of DFO's North Atlantic Right Whale Research Unit (Contact: Angelia Vanderlaan - Angelia.Vanderlaan@dfo-mpo.gc.ca) ,Completed,
"Recover 15 acoustic receiver moorings situated in an array at the head of the Gully MPA in support of a joint DFO-Ocean Tracking Network (OTN) project to evaluate how tagged species, particularly juvenile Atlantic halibut, utilize the MPA (Contact: Ryan Stanley - Ryan.Stanley@dfo-mpo.gc.ca).",Partially completed,"OTN acoustic receiver moorings at 2 stations did not surface, and communications could not be established with a third mooring."
Secondary,Status,Comment
Deploy ARGO floats in support of the International Argo Float Program (Contact: Blair Greenan - http://www.meds-sdmm.dfo-mpo.gc.ca/isdm-gdsi/argo/index-eng.html),Completed,
Nutrients and hydrography across the Northeast Channel and Gulf of Maine as part of NERACOOS Cooperative Agreement (Contact: Emmanuel Devred; Catherine Johnson - http://www.neracoos.org/),Completed,
"Carry out hydrographic, chemical and biological sampling at stations in the Gully in support of Gully MPA monitoring initiatives by Oceans and Coastal Management Division (Contact Lindsay Beazley - http://inter-w02.dfo-mpo.gc.ca/Maritimes/Oceans/OCMD/Gully/Gully-MPA)",Completed,
"Carry out hydrographic, chemical and biological sampling at stations in the St. Anns Bank MPA as a continued monitoring effort in support of Oceans and Coastal Management Division (Contact Lindsay Beazley - http://www.dfo-mpo.gc.ca/oceans/mpa-zpm/stanns-sainteanne-eng.html)",Completed,
"Conduct hydrographic, chemical and biological sampling across the mouth of the Laurentian Channel. This transect has been implemented to enhance our understanding of hydrographic phenomenon in support of current modelling efforts (Contact Dr. Dave Brickman - David.Brickman@dfo-mpo.gc.ca).",Completed,
Collect underway and CTD water samples at specified locations and depths to fulfil the regional component of an Aquatic Climate Change Adaptation Services Program (ACCASP) initiative investigating the delineation of ocean acidification and calcium carbonate saturation state of the Atlantic zone (Contact Dr. Kumiko Azetsu-Scott - http://www.dfo-mpo.gc.ca/science/oceanography-oceanographie/accasp-psaccma/index-eng.html),Completed,
External to DFO,Status ,Comment
Bird and marine mammal observations as part of ECCC-CWS Eastern Canada Seabirds at Sea observation program (Contact: Carina Gjerdrum - carina.gjerdrum@canada.ca),Completed,
Collect high-resolution imagery of phytoplankton species while underway using an Imaging Flow Cytobot (IFCB) in collaboration with the Woods Hole Oceanographic Institution (Contact Dennis McGillicuddy - dmcgillicuddy@whoi.edu; Emmanuel Devred - Emmanuel.Devred@dfo-mpo.gc.ca) ,Completed,
"Collect water samples for the Bertrand lab at Dalhousie University to evaluate microbial protein and metabolites from the Scotian Shelf to better understand phytoplankton growth, phytoplankton bacterial interactions, and the role of cobalamin and other B-vitamins in phytoplankton community composition and productivity (Contact Erin Bertrand - https://www.dal.ca/faculty/science/biology/faculty-staff/our-faculty/erin-bertrand.html)",Completed,
Collect water samples for the LaRoche lab at Dalhousie University from strategic locations and depths to support microbial community analyses via metabarcoding and metagenomics (Contact: Julie Laroche - http://www.dal.ca/faculty/science/biology/faculty-staff/our-faculty/julie-laroche.html),Completed,
Collect water samples for the Buchwald lab at Dalhousie University from strategic locations and depths to measure nitrate isotopes (d15N and d18O) to interpret changes in nutrient uptake and supply on the Scotian Shelf (Contact: Carolyn Buchwald - cbuchwald@dal.ca - https://www.dal.ca/faculty/science/oceanography/people/faculty/carly-buchwald.html),Completed,
Added During Mission,Status,Comment
Collect water samples around Sable Island to evaluate the potential impact of grey seal fertilization on biological activities around the island in support of DFO Marine Spatial Planning and Marine Conservation Targets initiatives (Contact: Emmanuel.Devred@dfo-mpo.gc.ca).,Completed,
Collect water samples around Sable Island to evaluate whether grey seals contribute to vitamin fertilization in its surrounding waters (Contact Erin Bertrand - https://www.dal.ca/faculty/science/biology/faculty-staff/our-faculty/erin-bertrand.html),Completed,
Occupation of the extended Halifax Line in support of DFO's Atlantic Zone Off-Shelf Monitoring Program (AZOMP; Contact: Marc.Ringuette@dfo-mpo.gc.ca),Partially completed,Station HL_12 could not be occupied as planned due to time constraints and potential weather impacts.
Collect surface water samples at high-frequency AZMP station Halifax 2 in support of a Dalhousie University experiment to evaluate if cobalamin is a co-limiting nutrient during the spring season (Contact: Contact Erin Bertrand - https://www.dal.ca/faculty/science/biology/faculty-staff/our-faculty/erin-bertrand.html),Completed,
