Common Name,Latin,Total no.
Unidentified Murres,Uria,54
Black-legged Kittiwake,Rissa tridactyla,35
Unidentified Auks,Alcidae,26
Herring Gull,Larus argentatus,11
Northern Fulmar,Fulmarus glacialis,9
Common Murre,Uria aalge,8
Northern Gannet,Morus bassanus,8
Ring-billed Gull,Larus delawarensis,5
Unidentified Gulls,Larus,8
Thick-billed Murre,Uria lomvia,3
Leach's Storm-Petrel,Oceanodroma leucorhoa,1
Razorbill,Alca torda,1
Sooty Shearwater,Ardenna griseus,1
Unidentified Terns,Sterna,1
Great Black-backed Gull,Larus marinus,1
Total,,172
